GEOID,Census_Tracts_with_airbnb,log_BART_dist,coastal_tracts_dummy,log_CBD_dist,percent_bachelors_degree,percent_unempl,percent_foreign_born,percent_bpl,percent_white,percent_african_american_or_black,percent_hispanic,percent_other_races,log_MHI,log_median_rent,log_median_house_price,rental_units,Vacant_rental,rent_aff_1,rent_aff_2,rent_aff_3,percent_airbnb(all_rentals),percent_airbnb(active_rentals)
06075020100,Census Tract 201,1.851848142,0,2.728955684,35.9,7.3,41.5,15.6,48.1,4.6,16.1,3.8,10.51734799,6.7310181,6.7310181,356,190,55.85819282,29.9178556,27.03497,16.03773585,29.05982906
06075020200,Census Tract 202,2.14598892,0,2.865721539,63,7.1,24.6,10.8,67.1,3.8,16.4,0.3,11.10870958,7.201170883,7.201170883,291,91,30.95879861,10.89718906,27.03497,26.14213198,33.99339934
06075020300,Census Tract 203,2.776437708,0,3.170191323,75.5,3.4,22.3,19.7,71.3,2.1,13.9,0.5,11.53340433,7.401841579,7.401841579,102,0,26.75261886,13.21514907,27.03497,35.8490566,35.8490566
06075020401,Census Tract 204.01,3.677633818,0,3.81072396,73.9,2.2,18.6,0,74.4,2.9,14.3,1.2,11.8455331,7.647786045,7.647786045,171,0,33.24675325,15.71428571,27.03497,26.60944206,26.60944206
06075020402,Census Tract 204.02,3.580789373,0,3.985530035,64.3,1.6,25,2.5,71.2,2,14.8,0,11.37311152,7.495541944,7.495541944,94,54,39.81066268,21.02640757,27.03497,37.33333333,58.33333333
06075020500,Census Tract 205,3.389874075,0,3.64860704,70.1,2.5,18.1,1.4,84.6,2,7.4,0.3,11.66134547,7.481555702,7.481555702,54,6,34.06976744,15.81395349,27.03497,47.05882353,50
06075020600,Census Tract 206,2.963404658,0,3.472390307,75.7,2.9,16.7,0,76.8,2.6,11.7,1.6,11.80372766,7.510977752,7.510977752,344,83,27.20732505,14.45389143,27.03497,24.56140351,30.02680965
06075020700,Census Tract 207,2.40347093,0,3.406504548,80.6,3.4,23.1,5.8,68.6,1.3,15.7,0.5,11.75820617,7.53796266,7.53796266,173,0,29.28229665,10.76555024,27.03497,39.93055556,39.93055556
06075020800,Census Tract 208,2.136541743,0,3.403509783,46.7,5.7,42.2,7.9,54.4,2.9,16,1.6,11.11684122,7.080867897,7.080867897,115,56,42.41885282,24.85549133,27.03497,47.72727273,64.02439024
06075020900,Census Tract 209,0.444480098,0,3.74610324,42.4,4.6,40,11.7,56.3,1.4,14,3,10.82133707,7.084226422,7.084226422,104,0,44.37380801,18.7539733,27.03497,44.08602151,44.08602151
06075021000,Census Tract 210,2.024530165,0,3.745131323,72.2,3.4,18.4,7.2,67.4,2.6,11,0.4,11.47553508,7.40367029,7.40367029,66,35,41.308298,18.35251363,27.03497,52.17391304,69.90291262
06075021100,Census Tract 211,2.924406708,0,3.697334514,78.3,5.8,22.4,2.6,77.6,1.4,12.8,0.4,11.68031103,7.716906135,7.716906135,151,31,26.93409742,16.80993314,27.03497,32.58928571,37.8238342
06075021200,Census Tract 212,3.462792012,0,3.855479061,86.7,3,16.2,3.1,79.6,1.1,9.7,0,11.77733379,7.661527081,7.661527081,124,0,30.36809816,12.57668712,27.03497,31.49171271,31.49171271
06075021300,Census Tract 213,3.294359998,0,3.968856011,82.6,1.7,16.6,1.9,75.4,0,14.1,0,12.05049428,7.488852956,7.488852956,89,0,23.99193548,6.25,27.03497,25.21008403,25.21008403
06075021400,Census Tract 214,2.923317948,0,3.849401444,82.4,5,18.9,1.3,76.4,0.6,15.8,2,11.86629696,7.833600224,7.833600224,141,64,24.41860465,13.43669251,27.03497,25.78947368,38.88888889
